id,operating_profit,cost_of_goods_sold,total_salary,operating_expenses,rent_expense,other_expenses,operating_profit_ratio,cogs_ratio,salary_ratio,rent_ratio,operating_expense_ratio,cash_payment_ratio_detail,card_payment_ratio_detail,other_payment_ratio,weighted_avg_cash_period,cashflow_cv,avg_account_balance,min_balance_maintenance_ratio,excessive_withdrawal_frequency,rent_payment_compliance_rate,utility_payment_compliance_rate,salary_payment_regularity,tax_payment_integrity,created_at
23,4182227.67,5755004.44,2404624.15,7803271.86,1504849.54,3893798.17,40.02,55.07,23.01,14.40,74.67,51.27,49.23,-0.50,1.21,0.3541,15751158.00,24.09,1.9,78.71,84.23,68.72,76.35,2025-09-10 19:52:45
24,1744832.61,5086913.09,1421891.79,4923459.01,692696.17,2808871.05,21.99,64.11,17.92,8.73,62.05,55.25,45.97,-1.22,1.09,0.1750,1405283.00,57.83,0.0,73.36,69.08,43.59,100.00,2025-09-10 19:52:45
25,7993114.46,9777693.48,2994293.66,14288296.12,1073080.20,10220922.26,47.97,58.68,17.97,6.44,85.75,52.34,43.65,4.01,1.29,0.3058,22945347.00,35.38,4.8,82.57,66.50,71.60,92.06,2025-09-10 19:52:45
26,4103145.50,7500424.21,2348697.08,10176115.27,2273236.93,5554181.26,26.10,47.71,14.94,14.46,64.73,52.87,34.80,12.33,1.49,0.7139,18247803.00,47.46,5.6,82.70,70.57,50.69,76.73,2025-09-10 19:52:45
27,-5462.52,7220087.92,1222239.21,9111486.03,1478977.72,6410269.10,-0.04,52.87,8.95,10.83,66.72,39.65,53.34,7.01,1.68,0.4644,15050733.00,70.72,0.0,82.23,88.37,59.37,100.00,2025-09-10 19:52:45
28,2719146.35,14103587.89,1058033.60,19933353.02,1667460.95,17207858.47,12.85,66.65,5.00,7.88,94.20,52.34,45.31,2.35,1.25,1.0455,21211284.00,41.89,0.0,89.62,90.83,49.12,80.10,2025-09-10 19:52:45
29,21000.00,2296500.00,1084000.00,4750000.00,556500.00,3109500.00,0.42,45.93,21.68,11.13,95.00,54.80,44.31,0.89,1.15,1.0830,2056655.00,59.31,3.9,100.00,78.99,100.00,95.15,2025-09-10 19:52:45
30,1352500.00,3101500.00,250000.00,3029500.00,283500.00,2496000.00,27.05,62.03,5.00,5.67,60.59,47.78,44.86,7.36,1.49,0.3494,6504805.00,84.12,3.2,36.80,20.55,77.59,100.00,2025-09-10 19:52:45
31,8932155.04,10682653.04,2510365.77,10910118.88,1241172.31,7158580.80,54.19,64.81,15.23,7.53,66.19,57.95,41.39,0.66,1.07,0.7049,14604704.00,49.46,2.5,78.34,30.29,92.73,78.46,2025-09-10 19:52:45
32,314000.00,1899500.00,550500.00,3327000.00,617500.00,2159000.00,6.28,37.99,11.01,12.35,66.54,45.90,37.47,16.63,1.77,0.3518,1000000.00,32.67,3.9,42.70,72.27,56.85,63.52,2025-09-10 19:52:45
33,1580846.00,11798990.02,3111506.41,9235940.39,1826396.91,4298037.07,8.82,65.83,17.36,10.19,51.53,53.11,42.76,4.13,1.28,0.9508,6047033.00,69.58,0.0,86.11,67.31,38.49,68.23,2025-09-10 19:52:45
34,4003221.60,17465166.24,1112006.00,21128114.00,2657694.34,17358413.66,18.00,78.53,5.00,11.95,95.00,53.58,38.25,8.17,1.36,0.6423,13192350.00,85.33,1.2,73.26,64.96,52.99,79.05,2025-09-10 19:52:45
35,11730948.29,8194825.12,1627739.24,19749071.20,1286807.90,16834524.06,56.43,39.42,7.83,6.19,95.00,42.09,49.02,8.89,1.67,0.9716,14658772.00,47.00,3.8,100.00,64.95,100.00,100.00,2025-09-10 19:52:45
36,1333461.06,5344670.71,2088607.82,7239304.15,1145802.13,4004894.20,14.78,59.24,23.15,12.70,80.24,41.54,45.16,13.30,1.79,0.3440,13695918.00,38.21,0.2,98.99,79.31,40.40,55.85,2025-09-10 19:52:45
37,3499235.35,6850993.35,1909161.36,9171750.59,1154345.46,6108243.77,26.10,51.10,14.24,8.61,68.41,37.43,39.89,22.68,2.13,0.1000,8038324.00,55.39,0.0,94.88,100.00,69.04,90.98,2025-09-10 19:52:45
38,2317978.43,2341864.40,1138218.80,8992551.61,977248.07,6877084.74,22.32,22.55,10.96,9.41,86.59,50.44,36.90,12.66,1.56,0.6174,4929551.00,10.00,2.0,65.83,71.37,76.53,70.39,2025-09-10 19:52:45
39,-19727.21,7324054.76,657573.60,12493898.40,1336189.56,10500135.24,-0.15,55.69,5.00,10.16,95.00,51.59,46.55,1.86,1.26,0.8441,12341319.00,87.12,2.7,94.67,100.00,60.78,61.76,2025-09-10 19:52:45
40,4140887.91,3693923.20,3603422.08,10603406.55,1351975.89,5648008.58,22.42,20.00,19.51,7.32,57.41,52.33,47.01,0.66,1.21,0.2907,5754962.00,45.83,0.8,68.21,30.78,74.97,77.31,2025-09-10 19:52:45
41,793000.00,1000000.00,1223500.00,2816500.00,944000.00,649000.00,15.86,20.00,24.47,18.88,56.33,48.22,51.23,0.55,1.31,0.5000,1000000.00,87.92,4.1,57.22,100.00,100.00,75.38,2025-09-10 19:52:45
42,-1472023.10,11226105.60,3864586.85,8663747.00,973864.66,3825295.49,-10.49,80.00,27.54,6.94,61.74,47.57,49.71,2.72,1.38,0.9903,3107989.00,95.00,1.6,54.94,97.26,71.87,81.20,2025-09-10 19:52:45
43,356958.68,11131678.69,3270827.86,16744077.86,387998.56,13085251.44,1.84,57.38,16.86,2.00,86.31,47.46,45.47,7.07,1.49,0.6817,7019236.00,39.06,0.0,56.87,56.90,43.46,82.40,2025-09-10 19:52:45
44,859518.78,1436121.60,903320.49,6186811.85,993796.15,4289695.21,11.97,20.00,12.58,13.84,86.16,52.34,34.33,13.33,1.52,0.1871,1652821.00,95.00,5.2,80.71,86.35,66.87,87.07,2025-09-10 19:52:45
45,2165196.15,3905743.72,1562502.14,8103113.58,1395712.45,5144898.99,21.16,38.17,15.27,13.64,79.19,52.77,51.82,-4.59,1.07,0.1000,7076632.00,74.04,0.8,81.74,73.34,75.49,100.00,2025-09-10 19:52:45
46,164500.00,3244500.00,753500.00,3105500.00,1121500.00,1230500.00,3.29,64.89,15.07,22.43,62.11,35.43,43.28,21.29,2.15,0.3327,7412460.00,84.13,1.4,51.82,86.10,93.64,76.75,2025-09-10 19:52:45
47,5422935.48,23138097.33,3739707.99,23231410.58,7134874.75,12356827.84,15.11,64.47,10.42,19.88,64.73,52.71,49.12,-1.83,1.14,0.2007,27034809.00,75.43,2.8,94.32,72.36,74.79,85.72,2025-09-10 19:52:45
48,1413500.00,2736500.00,543000.00,3526000.00,140000.00,2843000.00,28.27,54.73,10.86,2.80,70.52,52.01,48.41,-0.42,1.19,0.2987,1000000.00,62.33,1.9,71.01,100.00,78.71,76.83,2025-09-10 19:52:45
49,1866500.00,4000000.00,398000.00,4303000.00,315500.00,3589500.00,37.33,80.00,7.96,6.31,86.06,58.74,41.56,-0.30,1.02,0.6687,1000000.00,61.57,1.0,64.78,94.20,93.49,83.67,2025-09-10 19:52:45
50,5200563.06,13496377.75,2979469.15,14569295.40,4200974.32,7388851.93,26.95,69.94,15.44,21.77,75.50,50.52,38.57,10.91,1.51,0.5972,13579445.00,18.68,0.5,52.10,74.54,83.85,68.80,2025-09-10 19:52:45
51,4098953.01,4563004.93,516761.60,8339498.70,848522.55,6974214.55,39.66,44.15,5.00,8.21,80.69,50.22,42.01,7.77,1.44,1.0420,9917249.00,76.65,3.3,71.21,68.68,100.00,88.10,2025-09-10 19:52:45
52,3356841.25,5496507.24,787249.03,10034933.84,284719.36,8962965.45,23.58,38.61,5.53,2.00,70.49,52.93,37.83,9.24,1.41,0.2322,5275036.00,39.76,0.0,80.70,82.85,67.16,44.09,2025-09-10 19:52:45
53,1713000.00,2501500.00,1368500.00,4750000.00,607500.00,2774000.00,34.26,50.03,27.37,12.15,95.00,48.23,49.60,2.17,1.35,0.9280,9652135.00,48.94,0.0,87.06,63.66,89.42,74.38,2025-09-10 19:52:45
54,2494000.00,2994500.00,1006000.00,4750000.00,260500.00,3483500.00,49.88,59.89,20.12,5.21,95.00,46.87,53.23,-0.10,1.33,0.9478,5160105.00,83.12,4.4,88.33,47.70,48.25,91.78,2025-09-10 19:52:45
55,8054703.54,14433363.87,1731449.60,29614713.96,3279365.54,24603898.82,23.26,41.68,5.00,9.47,85.52,33.33,61.60,5.07,1.79,0.6255,27552434.00,37.73,4.8,64.45,54.52,91.87,80.65,2025-09-10 19:52:45
56,921553.40,1402668.80,1277129.94,5252994.66,718166.43,3257698.29,13.14,20.00,18.21,10.24,74.90,53.26,46.50,0.24,1.17,0.9355,4160558.00,61.58,2.0,74.30,74.13,89.14,100.00,2025-09-10 19:52:45
57,730868.80,6724670.72,2141773.17,5256155.36,225925.44,2888456.75,6.47,59.53,18.96,2.00,46.53,42.10,47.80,10.10,1.70,0.9416,8193169.00,76.28,6.8,37.52,60.94,73.16,91.54,2025-09-10 19:52:45
58,1799393.29,2751463.14,311745.20,3610632.91,832983.17,2465904.54,28.86,44.13,5.00,13.36,57.91,45.37,47.09,7.54,1.55,0.7356,10423898.00,48.40,0.0,100.00,56.78,94.40,76.79,2025-09-10 19:52:45
59,944500.00,2453000.00,1285000.00,4453000.00,392000.00,2776000.00,18.89,49.06,25.70,7.84,89.06,55.48,44.78,-0.26,1.11,1.1469,8964945.00,56.79,4.2,100.00,100.00,100.00,87.92,2025-09-10 19:52:45
60,6959274.68,7424697.49,1941936.55,15824375.53,2455506.55,11426932.43,34.69,37.01,9.68,12.24,78.88,50.13,38.98,10.89,1.52,0.5426,16403481.00,67.13,5.3,84.46,93.14,58.81,95.28,2025-09-10 19:52:45
61,3241256.37,7327218.41,6284610.26,22927725.60,3542936.97,13100178.37,13.43,30.36,26.04,14.68,95.00,55.94,37.47,6.59,1.27,0.4101,15699791.00,34.77,0.0,78.33,41.86,100.00,100.00,2025-09-10 19:52:45
62,5293827.92,7567514.14,2443569.19,11557189.96,1554686.58,7558934.19,30.85,44.10,14.24,9.06,67.35,55.82,40.56,3.62,1.20,0.9910,15674522.00,60.57,4.1,74.13,100.00,82.09,100.00,2025-09-10 19:52:45
63,1610013.29,6888201.21,3367038.11,16953748.24,2447030.52,11139679.61,6.79,29.05,14.20,10.32,71.50,57.21,25.50,17.29,1.50,0.8917,12676117.00,88.85,1.5,67.95,90.37,80.01,75.92,2025-09-10 19:52:45
64,359043.95,1437399.12,305829.60,5810762.40,1169492.39,4335440.41,5.87,23.50,5.00,19.12,95.00,58.48,38.77,2.75,1.11,1.1171,2027154.00,95.00,6.6,70.26,62.38,100.00,92.25,2025-09-10 19:52:45
65,1292500.00,2210500.00,1198500.00,4609000.00,447000.00,2963500.00,25.85,44.21,23.97,8.94,92.18,60.16,40.05,-0.21,0.99,1.5768,2660335.00,68.34,0.0,60.18,88.99,91.85,100.00,2025-09-10 19:52:45
66,1847500.00,4000000.00,1316500.00,4307000.00,655500.00,2335000.00,36.95,80.00,26.33,13.11,86.14,48.88,51.54,-0.42,1.27,0.5496,4121560.00,58.49,6.8,71.59,97.07,100.00,100.00,2025-09-10 19:52:45
67,8552447.02,10001440.03,1923353.85,14954325.34,398622.56,12632348.93,42.91,50.18,9.65,2.00,75.03,48.53,44.95,6.52,1.45,0.6776,5440646.00,60.66,0.9,68.22,87.93,64.80,66.17,2025-09-10 19:52:45
68,3915411.47,5334458.52,1846209.18,9120997.35,289601.44,6985186.73,27.04,36.84,12.75,2.00,62.99,56.05,45.33,-1.38,1.06,0.8076,2418094.00,48.59,2.3,68.70,57.92,46.51,82.62,2025-09-10 19:52:45
69,-1094332.90,9279066.15,1165152.59,9788293.48,1547916.18,7075224.71,-6.49,55.03,6.91,9.18,58.05,50.17,52.44,-2.61,1.18,0.2476,13324174.00,95.00,0.0,67.03,51.06,49.44,100.00,2025-09-10 19:52:45
70,-196000.00,2225000.00,1033500.00,4172000.00,100000.00,3038500.00,-3.92,44.50,20.67,2.00,83.44,47.53,53.75,-1.28,1.28,0.6191,9659035.00,11.48,2.5,49.74,45.15,73.02,78.18,2025-09-10 19:52:45
71,1629500.00,1812500.00,722500.00,4750000.00,114000.00,3913500.00,32.59,36.25,14.45,2.28,95.00,54.60,41.01,4.39,1.24,0.8649,6764950.00,83.02,0.0,89.76,44.46,100.00,85.81,2025-09-10 19:52:45
72,5821991.67,12872041.16,7313713.73,14240244.83,2330221.88,4596309.22,24.51,54.19,30.79,9.81,59.95,47.73,52.46,-0.19,1.30,0.5143,17221947.00,60.04,0.0,57.20,100.00,70.61,64.97,2025-09-10 19:52:45
73,3201494.33,4733903.12,949496.06,7219428.54,863507.38,5406425.10,35.37,52.30,10.49,9.54,79.76,53.86,42.83,3.31,1.24,1.0761,2045055.00,95.00,2.2,57.42,100.00,44.67,77.72,2025-09-10 19:52:45
74,1671224.65,4040555.80,3211995.05,13766448.62,1916267.08,8638186.49,9.48,22.92,18.22,10.87,78.09,53.10,41.29,5.61,1.31,0.4372,17320364.00,78.05,3.4,65.97,73.14,33.88,88.64,2025-09-10 19:52:45
75,568000.00,2491500.00,353000.00,2903000.00,553500.00,1996500.00,11.36,49.83,7.06,11.07,58.06,55.89,44.49,-0.38,1.09,0.1907,2202540.00,94.91,0.0,94.64,65.82,42.04,43.17,2025-09-10 19:52:45
76,-577593.24,6635469.50,3445980.03,12423149.60,2263382.34,6713787.23,-2.95,33.89,17.60,11.56,63.45,55.11,44.80,0.09,1.12,0.1969,6688109.00,77.61,0.0,67.95,91.27,53.57,100.00,2025-09-10 19:52:45
77,1131379.74,10861245.50,3209509.15,8896948.16,2347439.44,3339999.57,8.15,78.24,23.12,16.91,64.09,48.25,42.09,9.66,1.54,0.7141,17351510.00,62.58,1.5,71.16,94.15,41.20,52.53,2025-09-10 19:52:45
78,102988.20,1560427.20,413513.21,7412029.20,168526.14,6829989.85,1.32,20.00,5.30,2.16,95.00,57.62,40.08,2.30,1.12,0.2230,11230992.00,94.27,1.5,91.64,90.64,91.85,97.19,2025-09-10 19:52:45
79,1223805.87,1994793.60,2208236.52,4732647.82,1089157.31,1435253.99,12.27,20.00,22.14,10.92,47.45,54.90,38.59,6.51,1.29,0.7441,16951356.00,60.25,4.0,49.55,40.87,86.08,87.81,2025-09-10 19:52:45
80,4961876.53,2878953.60,4063643.01,12860285.73,2601134.58,6195508.14,34.47,20.00,28.23,18.07,89.34,45.36,45.69,8.95,1.59,1.0547,13491866.00,83.16,6.4,70.78,58.17,76.15,55.95,2025-09-10 19:52:45
81,360500.00,1000000.00,909500.00,4750000.00,674500.00,3166000.00,7.21,20.00,18.19,13.49,95.00,54.67,37.83,7.50,1.32,0.4240,6009335.00,36.41,1.4,88.47,73.95,96.10,88.82,2025-09-10 19:52:45
82,1984500.00,2691500.00,376000.00,3991500.00,782000.00,2833500.00,39.69,53.83,7.52,15.64,79.83,50.81,47.45,1.74,1.27,1.2546,1000000.00,81.93,0.0,100.00,30.16,84.60,100.00,2025-09-10 19:52:45
83,1235643.93,10229333.34,2979808.83,9006092.36,1089909.27,4936374.26,7.97,65.98,19.22,7.03,58.09,52.06,52.61,-4.67,1.08,0.6773,13117206.00,59.71,0.0,89.02,32.42,100.00,47.79,2025-09-10 19:52:45
84,-689734.99,14672544.31,4816086.62,17050441.86,3817659.05,8416696.19,-2.86,60.84,19.97,15.83,70.70,55.03,44.43,0.54,1.14,0.3651,15078976.00,52.51,2.1,72.20,60.68,100.00,56.37,2025-09-10 19:52:45
85,3594599.01,11532419.26,2818699.06,10248850.38,1407834.10,6022317.22,23.72,76.10,18.60,9.29,67.63,47.46,49.57,2.97,1.39,0.3871,1000000.00,85.99,0.6,47.05,100.00,44.16,60.38,2025-09-10 19:52:45
86,2418906.85,6217756.34,881589.54,13843141.60,1467373.01,11494179.05,16.60,42.67,6.05,10.07,95.00,39.47,51.96,8.57,1.73,0.5153,16922716.00,51.42,2.3,100.00,73.25,65.38,66.73,2025-09-10 19:52:45
87,1292870.53,5712537.45,1349492.60,7625105.05,1330618.58,4944993.87,12.33,54.48,12.87,12.69,72.72,47.51,36.90,15.59,1.70,0.1000,15659056.00,95.00,0.9,92.63,81.43,57.50,48.07,2025-09-10 19:52:45
88,1403000.00,2000000.00,1714500.00,4750000.00,319500.00,2716000.00,28.06,40.00,34.29,6.39,95.00,43.44,48.10,8.46,1.63,0.4263,1601690.00,91.43,8.5,59.97,39.49,59.91,58.99,2025-09-10 19:52:45
89,5501815.73,21778885.67,2627821.42,28176414.80,845292.44,24703300.94,18.55,73.43,8.86,2.85,95.00,44.68,41.96,13.36,1.72,0.6083,19013803.00,24.47,2.9,73.75,53.26,57.44,66.30,2025-09-10 19:52:45
90,1173929.68,4186935.66,1231663.92,10079437.18,799859.87,8047913.39,9.76,34.81,10.24,6.65,83.80,38.36,46.20,15.44,1.93,0.2703,13120311.00,63.17,5.3,100.00,75.31,26.40,90.45,2025-09-10 19:52:45
91,190609.12,2580672.74,467018.02,4192886.76,553331.58,3172537.16,3.71,50.23,9.09,10.77,81.61,48.37,42.85,8.78,1.51,0.3164,7047344.00,95.00,4.5,88.75,44.29,42.91,40.50,2025-09-10 19:52:45
92,2092987.27,7915634.06,5184479.32,13024341.51,1081011.93,6758850.26,12.43,47.01,30.79,6.42,77.35,53.05,47.53,-0.58,1.16,0.1417,10386959.00,36.67,4.7,64.90,35.13,100.00,91.25,2025-09-10 19:52:45
93,8430496.17,8187463.10,2914104.06,21042995.33,458552.96,17670338.31,36.77,35.71,12.71,2.00,91.78,47.09,42.06,10.85,1.59,0.2103,13808771.00,90.93,2.7,83.71,100.00,51.18,81.26,2025-09-10 19:52:45
94,5361760.54,10066172.90,4973840.48,11097334.95,626314.57,5497179.90,38.01,71.36,35.26,4.44,78.67,53.96,48.00,-1.96,1.10,0.1685,8670328.00,77.92,0.0,100.00,85.62,74.72,73.69,2025-09-10 19:52:45
95,5227273.29,9073107.60,1834903.03,13487206.97,2387861.30,9264442.64,27.32,47.42,9.59,12.48,70.49,46.77,55.60,-2.37,1.27,0.7316,16467658.00,72.71,2.5,81.68,74.01,53.68,58.70,2025-09-10 19:52:45
96,2469173.34,6319509.79,3303380.12,16326056.10,2136671.12,10886004.86,12.55,32.12,16.79,10.86,82.98,58.62,39.52,1.86,1.08,0.8852,16992041.00,54.62,5.2,95.62,54.46,95.58,100.00,2025-09-10 19:52:45
97,3573353.96,5084938.76,853314.00,7291364.96,624138.24,5813912.72,43.97,62.57,10.50,7.68,89.72,56.54,39.79,3.67,1.18,0.7180,12427255.00,95.00,1.0,82.33,53.67,75.85,84.35,2025-09-10 19:52:45
98,6839275.87,15374735.79,1696184.05,25906348.00,2497917.34,21712246.61,25.08,56.38,6.22,9.16,95.00,46.72,43.53,9.75,1.58,0.1863,19020680.00,44.29,0.0,52.88,62.49,76.53,100.00,2025-09-10 19:52:45
99,2483670.32,5385028.41,3045078.62,11241639.80,1884834.80,6311726.38,16.59,35.97,20.34,12.59,75.09,51.38,36.33,12.29,1.52,0.6055,10648046.00,55.07,0.0,70.77,40.56,100.00,54.59,2025-09-10 19:52:45
100,21493109.58,14622204.56,1961748.65,17151743.87,4500857.47,10689137.75,67.38,45.84,6.15,14.11,53.77,50.85,49.67,-0.52,1.22,1.2323,23395359.00,75.24,4.6,90.10,70.73,79.90,72.94,2025-09-10 19:52:45
101,4619766.03,8725081.50,2381906.09,14963651.96,2256723.12,10325022.75,26.94,50.88,13.89,13.16,87.26,56.36,39.31,4.33,1.20,0.9990,6007619.00,73.88,1.7,87.45,100.00,86.99,83.61,2025-09-10 19:52:45
102,9124058.96,15768518.40,3348839.10,13663421.19,2718098.36,7596483.73,46.29,80.00,16.99,13.79,69.32,55.15,48.77,-3.92,1.02,1.0249,14821951.00,84.68,1.6,92.93,93.06,58.07,60.61,2025-09-10 19:52:45
103,3406655.53,3649893.13,2881634.49,7428715.48,265833.44,4281247.55,25.63,27.46,21.68,2.00,55.89,58.02,42.37,-0.39,1.04,0.9087,5315844.00,56.17,5.3,64.54,100.00,34.63,90.07,2025-09-10 19:52:45
104,-1618255.98,2280840.00,2459885.94,10833990.00,1669574.88,6704529.18,-14.19,20.00,21.57,14.64,95.00,31.64,47.86,20.50,2.22,0.4901,17973270.00,41.25,0.7,34.31,100.00,20.00,87.37,2025-09-10 19:52:45
105,1337932.76,12651846.40,790740.40,12178983.64,1532454.90,9855788.34,8.46,80.00,5.00,9.69,77.01,50.08,39.27,10.65,1.51,0.3470,11253346.00,95.00,4.1,62.92,83.44,40.97,80.19,2025-09-10 19:52:45
106,266049.76,1689204.80,942576.28,6503438.48,399496.94,5161365.26,3.15,20.00,11.16,4.73,77.00,50.42,51.89,-2.31,1.18,1.0855,1951263.00,49.99,0.0,93.39,90.49,71.88,97.28,2025-09-10 19:52:45
107,3919523.94,6892985.60,1340685.70,3446492.80,814233.92,1291573.18,45.49,80.00,15.56,9.45,40.00,52.46,43.00,4.54,1.30,1.0119,4492399.00,95.00,0.0,73.63,89.23,76.29,86.72,2025-09-10 19:52:45
108,1829139.42,4915296.47,3267695.69,10903321.32,473100.72,7162524.91,13.30,35.74,23.76,3.44,79.28,47.02,47.92,5.06,1.45,0.8747,12403381.00,95.00,0.2,91.66,94.16,48.35,100.00,2025-09-10 19:52:45
109,-982952.44,5635862.55,3273822.47,10490197.33,1133349.53,6083025.33,-7.32,41.97,24.38,8.44,78.12,40.44,47.73,11.83,1.78,0.6280,12369979.00,73.50,0.0,72.46,46.77,72.36,75.43,2025-09-10 19:52:45
110,2863875.84,23426387.20,4392447.60,27818834.80,1013191.25,22413195.95,9.78,80.00,15.00,3.46,95.00,33.98,54.29,11.73,1.94,0.5483,11652633.00,74.14,0.1,68.89,84.01,100.00,61.80,2025-09-10 19:52:45
111,1751000.00,2634000.00,1131000.00,4391500.00,427500.00,2833000.00,35.02,52.68,22.62,8.55,87.83,50.12,48.95,0.93,1.27,0.1000,1000000.00,95.00,3.4,64.37,48.94,36.89,62.50,2025-09-10 19:52:45
