current_month,summary_year_month,total_sales_amount,weekday_sales_amount,weekend_sales_amount,lunch_sales_ratio,dinner_sales_ratio,transaction_count,weekday_transaction_count,weekend_transaction_count,mom_growth_rate,yoy_growth_rate,sales_cv,avg_transaction_value,weekday_avg_transaction_value,weekend_avg_transaction_value,cash_payment_ratio,card_payment_ratio,revisit_customer_sales_ratio,new_customer_ratio,operating_profit,cost_of_goods_sold,total_salary,operating_expenses,rent_expense,other_expenses,operating_profit_ratio,cogs_ratio,salary_ratio,rent_ratio,operating_expense_ratio,cash_payment_ratio_detail,card_payment_ratio_detail,other_payment_ratio,weighted_avg_cash_period,cashflow_cv,avg_account_balance,min_balance_maintenance_ratio,excessive_withdrawal_frequency,rent_payment_compliance_rate,utility_payment_compliance_rate,salary_payment_regularity,tax_payment_integrity,electricity_usage_kwh,gas_usage_m3,water_usage_ton,energy_eff_appliance_ratio,participate_energy_eff_support,participate_high_eff_equip_support,food_waste_kg_per_day,recycle_waste_kg_per_day,yellow_umbrella_member,yellow_umbrella_months,yellow_umbrella_amount,employment_insurance_employees,customer_review_avg_rating,customer_review_positive_ratio,hygiene_certified,origin_price_violation_count
98,May.20,11747772.02,4678504.48,3429970.17,20.73,34.01,4453,0,692,-0.59,-6.52,0.4995,36428.93,33356.04,38144.53,52.36,44.19,70.78,28.14,1038384.68,4245289.4,728180,13835420,1792779.16,11314460.84,7.13,29.15,5,12.31,95,30,55.14,14.86,2.12,0.1,11408360,63.26,5.1,79.13,33.7,46.71,100,1346.47,918.04,13.1,59.12,0,0,15.53,7.36,0,0,0,0,4.85,62.71,0,0
98,May.23,9462470.21,0,5487717.04,18.88,37.01,8514,9284,1870,-3.3,-3.41,0.4739,33875.03,33536.01,38692.61,51.84,47.87,67.92,26.7,4827066.82,15059265.04,5491613.5,21620525.6,1433782.22,14695129.88,21.21,66.17,24.13,6.3,95,50.7,52.51,-3.21,1.15,0.967,7452101,79.21,0,87.54,84.11,60.41,70.62,2148.38,797.27,11.83,32.03,0,0,13.03,3.63,0,0,0,0,4.18,84.75,0,0
98,Mar.19,14090659.75,19113872.77,3119264.08,23.01,37.02,8064,6953,3105,9.71,-0.6,0.4622,40177.7,33113.9,39018.69,47.3,43.08,70.67,27.48,2613026.48,6085651.2,1223215.89,6976438.39,826127.15,4927095.35,34.35,80,16.08,10.86,91.71,58.69,43.76,-2.45,0.97,0.2649,12350698,41.85,0,86.27,63.44,62.49,64.97,1374.73,749.1,20.72,5,0,0,16.9,6.86,1,161,71000,0,5,61.04,0,0
97,Dec.19,9948708.38,28647542.95,3226490.27,20.86,35.54,3933,0,1976,1.13,0.38,0.4598,36549.16,32670.31,39040.33,51.13,47.64,74.26,26.48,2055926.41,2610577.24,1887052.27,7359194,300564.98,5171576.75,26.54,33.7,24.36,3.88,95,49.74,47.25,3.01,1.33,0.6662,2820400,57.44,0,46.16,70.04,57.7,88.15,2286.13,476.25,13.19,25.13,0,0,9.45,3.73,0,0,0,0,3.92,72.79,0,0
97,Feb.25,2776422.47,27672862.03,1451576.1,20.39,34.63,4694,4077,1902,0.03,6.83,0.443,34376.15,33312.15,38361.58,53.36,39.92,71.81,27.81,3120075.8,10010764.47,6485354.04,18675417.64,2667201.93,9522861.67,12.47,40.01,25.92,10.66,74.64,54.89,45.2,-0.09,1.13,0.8782,19045927,75.76,1.6,78.94,63.5,78.51,89.76,3444.91,685.36,8.84,47.58,0,0,3.57,1.77,0,0,0,0,4.31,92.83,0,0
97,Jul.23,8291123.03,2377459.91,3958900.29,20.09,37.11,7312,3149,1121,1.83,4.63,0.5212,41856.37,33020.67,38509,49.91,44.81,72.27,27.52,1927332.29,3543418.37,1532289.02,8501410.85,1405595.86,5563525.97,19.32,35.52,15.36,14.09,85.22,37.75,44.86,17.39,1.99,0.5399,6776730,23.56,5,28.43,79.57,96,89.23,2658.52,949.2,23.53,48.76,0,0,14.03,7.98,1,137,653000,0,4.79,81.7,0,0
97,Sep.25,5280210.36,16781387.54,11189807.65,18.61,32.39,5624,7393,1514,-4.45,1.84,0.4933,36207.81,33809.72,38258.95,51.65,44.83,73.46,28.66,1063023.26,3114690.73,1074424.43,2583722.02,995702.08,513595.51,19.58,57.37,19.79,18.34,47.59,56.74,47.49,-4.23,0.98,0.8882,10209281,58.58,0,68.05,100,76.34,85.85,2043.57,1368.05,20.74,12.98,0,0,11.07,4.33,0,0,0,0,3.91,63.38,0,0
97,Oct.21,14794341.92,25481201.96,946563.84,19.18,33.87,665,3127,867,-2.75,-2.02,0.3843,39369.54,33904.87,38252.01,52.63,45.79,73.09,30.08,1488500,1739500,836000,4750000,100000,3814000,29.77,34.79,16.72,2,95,37.58,40.43,21.99,2.11,0.1983,12336580,69.92,5.8,81.62,76.21,67.85,100,2479.48,274.03,12.94,69.02,0,0,8.41,2.9,1,55,314000,0,4.11,83.39,0,0
97,Sep.18,11824765.68,16145441.87,2277626.71,19.01,36.89,7829,4099,949,-6.21,-9.4,0.4838,31301.77,33742,38920.03,49.23,46.01,73.19,27.95,2141314.48,13033341.55,2316466.11,13596574.23,2783537.11,8496571.01,12.47,75.9,13.49,16.21,79.18,49.71,35.29,15,1.63,0.2756,12438086,37.88,4.3,100,55.95,100,75.82,3082.92,794.49,5.95,22.76,0,0,4.5,1.25,0,0,0,0,3.51,64.47,0,0
97,Jan.19,6416981.82,0,1837580.17,17.13,38.09,7957,3773,485,2.63,0.54,0.4349,34958.04,33512.17,39126.95,50.04,47.33,73.7,30.33,2142827.9,4022201.6,1021136.43,3587803.83,508808.5,2057858.9,42.62,80,20.31,10.12,71.36,52.04,35.17,12.79,1.52,1.1238,4578209,89.92,8.6,75.33,35.85,67.5,71.07,655.74,1074.19,18.64,24.09,0,0,6.21,2.46,0,0,0,0,3.37,84.84,0,0
97,Mar.22,11938882.1,20986408.22,1342316.92,21.56,36.35,0,6538,1842,-1.24,4.82,0.4138,32707.68,33567.83,39231.55,53.46,44.98,75.36,28.14,4361296.4,13088115.25,4207045.12,13525512.71,422606.24,8895861.35,20.64,61.94,19.91,2,64.01,46.19,33.83,19.98,1.84,0.6919,16784409,23.45,0,100,94.96,52.95,46.58,2215.84,548.33,17.51,43.33,0,0,7.58,2.8,0,0,0,0,3.64,87.77,0,0
97,Nov.25,13251947.18,23079026.65,8882008.81,21.1,34.02,5053,0,1791,0.42,-2.44,0.4871,34757.45,32604.78,38886.1,54.05,44.42,70.76,26.88,4105154.44,5223998.81,2383675.74,7328547.4,2165279.18,2779592.48,35.15,44.73,20.41,18.54,62.75,53.94,45.6,0.46,1.16,0.8198,14049150,43.14,1.9,78.07,64.21,37.1,80.73,2249.19,849.89,24.83,37.61,0,0,5.69,0.37,1,87,492000,0,4.73,73.06,0,0
97,Sep.21,12269775.51,5202518.65,0,20.21,31.49,6317,1132,1162,-0.65,0.39,0.4823,43016.73,32631.86,39006.45,51.9,43.55,70.04,27.71,4182227.67,5755004.44,2404624.15,7803271.86,1504849.54,3893798.17,40.02,55.07,23.01,14.4,74.67,51.27,49.23,-0.5,1.21,0.3541,15751158,24.09,1.9,78.71,84.23,68.72,76.35,2924.22,736.49,5.03,65.59,0,0,11.21,4.92,0,0,0,0,3.95,54.69,0,0
97,Dec.22,18926822,9740898.76,6460408.73,20.53,35.98,4030,0,460,3.05,4.16,0.4372,31543.31,32260.96,38181.9,48.23,41.02,71.09,28.42,1744832.61,5086913.09,1421891.79,4923459.01,692696.17,2808871.05,21.99,64.11,17.92,8.73,62.05,55.25,45.97,-1.22,1.09,0.175,1405283,57.83,0,73.36,69.08,43.59,100,2802.69,910.38,21.07,19.99,0,0,1.76,0.71,1,186,886000,0,3.98,71.64,0,0
97,Feb.21,6031316.1,8212807.02,7132855.63,18.91,36.38,0,3372,1493,-6.56,3.6,0.4212,35532.6,32998.27,39280.5,50.07,42.16,73.03,27.85,7993114.46,9777693.48,2994293.66,14288296.12,1073080.2,10220922.26,47.97,58.68,17.97,6.44,85.75,52.34,43.65,4.01,1.29,0.3058,22945347,35.38,4.8,82.57,66.5,71.6,92.06,2887.16,493.78,20.32,14.36,0,0,6.14,3.46,0,0,0,0,4.71,62.98,0,0
97,Sep.25,12382484.83,0,0,20.98,38.42,2145,6288,1565,0.41,-0.25,0.4724,39835.49,33743.99,39202.57,55.46,47.38,70.53,26.82,4103145.5,7500424.21,2348697.08,10176115.27,2273236.93,5554181.26,26.1,47.71,14.94,14.46,64.73,52.87,34.8,12.33,1.49,0.7139,18247803,47.46,5.6,82.7,70.57,50.69,76.73,2379.85,673.48,9.42,54.48,0,0,5.75,3.67,1,141,536000,0,3.64,92.75,0,0
97,Jul.18,22776508.66,965850.19,6191482.3,20.51,35.75,841,1791,1234,3.89,-5.96,0.4554,30775.77,32903.83,38823.4,48.37,45.17,70.9,25.77,-5462.52,7220087.92,1222239.21,9111486.03,1478977.72,6410269.1,-0.04,52.87,8.95,10.83,66.72,39.65,53.34,7.01,1.68,0.4644,15050733,70.72,0,82.23,88.37,59.37,100,3282.51,1087.66,16.72,12.83,1,0,3.7,0.72,0,0,0,0,2.93,98,0,0
97,Mar.21,14437287.53,18026882.61,11231868.61,19.8,33.91,5714,2276,2237,-2.81,0.52,0.4838,32320.01,32812.9,39007.32,53.52,40.67,75.62,25.99,2719146.35,14103587.89,1058033.6,19933353.02,1667460.95,17207858.47,12.85,66.65,5,7.88,94.2,52.34,45.31,2.35,1.25,1.0455,21211284,41.89,0,89.62,90.83,49.12,80.1,2821.48,1275.8,5.14,42.71,0,0,1,0.38,0,0,0,0,4.45,86.02,0,0
97,Jan.20,5620127.37,1124226.12,4797198,18.3,34.52,5358,4605,867,1.57,8.97,0.4441,38630.14,32909.96,38717.73,48.86,47.18,71.15,25.28,21000,2296500,1084000,4750000,556500,3109500,0.42,45.93,21.68,11.13,95,54.8,44.31,0.89,1.15,1.083,2056655,59.31,3.9,100,78.99,100,95.15,2435.21,542.12,15.77,70.31,0,0,10.7,5.61,1,87,426000,0,5,94.39,0,0
97,Sep.23,14068159.75,17380067.24,5059816.54,19.89,38.31,4608,0,1384,-2.77,-3,0.4222,31463.33,33770.92,38418.7,51.36,46.11,73.41,27.69,1352500,3101500,250000,3029500,283500,2496000,27.05,62.03,5,5.67,60.59,47.78,44.86,7.36,1.49,0.3494,6504805,84.12,3.2,36.8,20.55,77.59,100,1852.46,1177.89,25.66,12.71,0,0,2.87,1.07,0,0,0,0,2.74,70.83,0,0
97,Dec.18,4993679.31,30890087.49,5324117.42,19.28,35.7,7480,1996,59,-3.38,-4.51,0.4873,35592.67,33816.58,38985.65,52.75,44.73,70.84,29.71,8932155.04,10682653.04,2510365.77,10910118.88,1241172.31,7158580.8,54.19,64.81,15.23,7.53,66.19,57.95,41.39,0.66,1.07,0.7049,14604704,49.46,2.5,78.34,30.29,92.73,78.46,2619.56,532.29,11.27,23.08,0,0,5.42,2.25,0,0,0,0,2.83,73.15,0,0
97,Jul.19,0,27820710.76,4097180.6,22.21,37.47,589,1534,1755,-3.03,-1.57,0.4449,40044.6,33205.34,38445.52,49.23,40.12,69.88,26.96,314000,1899500,550500,3327000,617500,2159000,6.28,37.99,11.01,12.35,66.54,45.9,37.47,16.63,1.77,0.3518,1000000,32.67,3.9,42.7,72.27,56.85,63.52,1991.8,1129.79,15.23,40.39,0,0,2.32,0.76,0,0,0,0,3.32,75.54,0,0
97,Aug.25,0,22753248.1,4553844.51,19.06,35.61,9803,1335,36,0.5,-0.39,0.4351,35600.11,34587.89,39662.43,49.84,48.06,72.27,26.54,1580846,11798990.02,3111506.41,9235940.39,1826396.91,4298037.07,8.82,65.83,17.36,10.19,51.53,53.11,42.76,4.13,1.28,0.9508,6047033,69.58,0,86.11,67.31,38.49,68.23,1548.51,199.79,19.95,5.41,0,0,1,0.37,0,0,0,0,4.77,93.82,0,0
97,Mar.21,16607101.67,21636954.39,3985074.24,20.55,36.51,9689,0,0,1.5,4.77,0.4675,33608.05,33794.97,39735.58,53.59,48.11,72.88,26.04,4003221.6,17465166.24,1112006,21128114,2657694.34,17358413.66,18,78.53,5,11.95,95,53.58,38.25,8.17,1.36,0.6423,13192350,85.33,1.2,73.26,64.96,52.99,79.05,2956.21,1408.13,21.59,31.53,0,0,10.44,3.62,0,0,0,0,3.72,69.82,0,0
96,Feb.24,10169314.56,11779123.19,5970999.82,19.61,36.52,4701,2352,1950,0.69,3.92,0.4128,41053.54,33738.33,38620.07,50.08,45.95,70.67,27,11730948.29,8194825.12,1627739.24,19749071.2,1286807.9,16834524.06,56.43,39.42,7.83,6.19,95,42.09,49.02,8.89,1.67,0.9716,14658772,47,3.8,100,64.95,100,100,874.01,550.97,22.94,52.25,0,0,5,2.65,0,0,0,0,4,98,0,0
96,Apr.23,6549.06,510896.14,6566016.78,20.54,31.59,1279,4754,0,-2.37,-5.53,0.5092,37953.51,33541.31,38529.26,54.86,47.89,73.18,24.27,1333461.06,5344670.71,2088607.82,7239304.15,1145802.13,4004894.2,14.78,59.24,23.15,12.7,80.24,41.54,45.16,13.3,1.79,0.344,13695918,38.21,0.2,98.99,79.31,40.4,55.85,1960.6,624.57,21.28,52.46,0,0,4.65,1.7,1,202,72000,0,4.71,69.03,0,0
96,Apr.20,12294338.8,14018381.19,4707401.9,19.51,34.78,7860,5017,0,-4.81,-7.88,0.4201,30579.62,33565.35,39350.99,49.75,44.61,70.34,26.13,3499235.35,6850993.35,1909161.36,9171750.59,1154345.46,6108243.77,26.1,51.1,14.24,8.61,68.41,37.43,39.89,22.68,2.13,0.1,8038324,55.39,0,94.88,100,69.04,90.98,2115.92,226.64,17.84,35.66,0,0,9.36,5.17,1,144,647000,0,3.85,77.47,0,0
96,Jan.22,18474888.5,13596124.89,5714344.73,21.72,34.89,4276,6830,53,2.62,-2.37,0.5167,36912.58,33409,38812.23,51.57,43.14,72.37,28.89,2317978.43,2341864.4,1138218.8,8992551.61,977248.07,6877084.74,22.32,22.55,10.96,9.41,86.59,50.44,36.9,12.66,1.56,0.6174,4929551,10,2,65.83,71.37,76.53,70.39,2720.22,900.12,27.94,56.94,0,0,2.14,1.09,0,0,0,0,3.8,78.19,0,0
96,Apr.21,14096207.63,21502599.21,7172746.1,21.72,34.02,7721,3199,0,-0.72,-0.12,0.4794,38103.47,33995.63,38576.94,57.28,46.31,74.7,21.95,-19727.21,7324054.76,657573.6,12493898.4,1336189.56,10500135.24,-0.15,55.69,5,10.16,95,51.59,46.55,1.86,1.26,0.8441,12341319,87.12,2.7,94.67,100,60.78,61.76,3572.97,318.97,16.24,6.52,0,0,7.15,2.96,1,134,130000,0,5,77.68,0,0
96,Nov.19,17517881.12,17626173.78,5581089.81,18.36,34.61,2443,7046,718,0.54,6.4,0.3445,38264.3,33729.55,38651.43,57.23,50.01,75.38,28.64,4140887.91,3693923.2,3603422.08,10603406.55,1351975.89,5648008.58,22.42,20,19.51,7.32,57.41,52.33,47.01,0.66,1.21,0.2907,5754962,45.83,0.8,68.21,30.78,74.97,77.31,4216.94,1210.19,8.58,47.21,0,0,2.58,0.89,0,0,0,0,4.61,70.54,0,0
96,Nov.23,16123759.87,11919333.42,4418323.8,21.75,35.46,7405,640,224,-2.62,-1.32,0.4074,32337.25,33181.74,38932.02,47.9,45.47,72.54,26.07,793000,1000000,1223500,2816500,944000,649000,15.86,20,24.47,18.88,56.33,48.22,51.23,0.55,1.31,0.5,1000000,87.92,4.1,57.22,100,100,75.38,2376.13,693.66,18.87,5,0,0,11.89,4.66,0,0,0,0,4.45,95.53,0,0
96,Jul.21,0,9983624.59,3517851.83,19.92,36.1,7684,5830,557,-0.11,-1.65,0.4546,33543.6,33347.47,39828.24,51,41.7,74.55,25.73,-1472023.1,11226105.6,3864586.85,8663747,973864.66,3825295.49,-10.49,80,27.54,6.94,61.74,47.57,49.71,2.72,1.38,0.9903,3107989,95,1.6,54.94,97.26,71.87,81.2,2153.28,971.5,2,71.15,0,0,16.05,8.39,1,36,578000,0,4.61,84.27,0,0
96,Mar.23,17295279.74,20925897.64,31583.69,21.35,36.61,698,2938,0,-4.24,-2.36,0.5096,31493.44,33297.35,39059.22,47.59,43.97,72.54,27.02,356958.68,11131678.69,3270827.86,16744077.86,387998.56,13085251.44,1.84,57.38,16.86,2,86.31,47.46,45.47,7.07,1.49,0.6817,7019236,39.06,0,56.87,56.9,43.46,82.4,2041.81,825.66,3.8,28.89,0,0,6.6,2.49,1,55,536000,0,4.94,93.58,0,0
96,Apr.20,10716877.45,12283746.97,4882580.89,18.42,36.52,5832,2962,1315,0.56,-6.03,0.3664,30463.43,33504.92,38289.98,51.35,46.67,73.71,27.57,859518.78,1436121.6,903320.49,6186811.85,993796.15,4289695.21,11.97,20,12.58,13.84,86.16,52.34,34.33,13.33,1.52,0.1871,1652821,95,5.2,80.71,86.35,66.87,87.07,2610.87,789.95,14.06,23.39,0,0,9.56,2.62,1,163,441000,0,4.05,63.69,0,0
96,Aug.21,14788108.16,7810921.66,2710782.22,19.73,35.89,7210,5934,1491,3.19,0.24,0.5296,36348.72,32901.56,38288.91,57.47,40.94,72.33,25.11,2165196.15,3905743.72,1562502.14,8103113.58,1395712.45,5144898.99,21.16,38.17,15.27,13.64,79.19,52.77,51.82,-4.59,1.07,0.1,7076632,74.04,0.8,81.74,73.34,75.49,100,3253.29,879.64,16.68,42.54,0,0,5.62,2.32,0,0,0,0,4.48,42.33,0,0
96,Sep.23,12590492.43,0,6308442.23,22.54,36.96,5667,2350,0,-1.04,-5.38,0.4485,41974.25,33133.68,38959.55,52.47,43.88,69.92,27.22,164500,3244500,753500,3105500,1121500,1230500,3.29,64.89,15.07,22.43,62.11,35.43,43.28,21.29,2.15,0.3327,7412460,84.13,1.4,51.82,86.1,93.64,76.75,2500.78,771.68,2.33,52.11,0,0,12.88,4.13,0,0,0,0,2.99,93.84,0,0
96,Apr.18,3993126.11,0,0,22.69,34.05,7442,1322,223,-6.61,-2.28,0.4731,42019.35,33871.34,38232.84,54.58,44.55,72.78,28.98,5422935.48,23138097.33,3739707.99,23231410.58,7134874.75,12356827.84,15.11,64.47,10.42,19.88,64.73,52.71,49.12,-1.83,1.14,0.2007,27034809,75.43,2.8,94.32,72.36,74.79,85.72,3081.22,814.14,19.27,46.25,0,0,6.17,1.91,0,0,0,0,3.3,72.14,0,0
96,Nov.19,12708515.08,14216305.18,5483115.22,20.76,34.61,5273,5787,3112,-0.08,-2.02,0.4705,37347.44,33321.91,39779.36,50.24,46.83,71.96,26.49,1413500,2736500,543000,3526000,140000,2843000,28.27,54.73,10.86,2.8,70.52,52.01,48.41,-0.42,1.19,0.2987,1000000,62.33,1.9,71.01,100,78.71,76.83,3203.29,1233.11,16.03,13.12,0,0,13.3,6.36,1,19,142000,0,3.28,70.03,0,0
96,Dec.19,18778591.89,35964593.37,8749500.66,19.82,37.37,5939,3980,2411,0.9,5.04,0.4419,36898.19,33368.14,38317.21,54.15,44.2,72.94,25.79,1866500,4000000,398000,4303000,315500,3589500,37.33,80,7.96,6.31,86.06,58.74,41.56,-0.3,1.02,0.6687,1000000,61.57,1,64.78,94.2,93.49,83.67,3013.09,1313.62,6.52,18.42,0,0,18.57,3.79,1,203,777000,4,4.81,98,0,0
96,Feb.22,2112007.22,7563949.74,8151322.56,19.73,34.35,6026,943,2351,1.81,0.33,0.4504,33168.55,33660.67,38849.14,57,46.67,73.87,26.25,5200563.06,13496377.75,2979469.15,14569295.4,4200974.32,7388851.93,26.95,69.94,15.44,21.77,75.5,50.52,38.57,10.91,1.51,0.5972,13579445,18.68,0.5,52.1,74.54,83.85,68.8,1183.36,798.46,6.06,34.43,0,0,7.56,2.63,0,0,0,0,3.88,30.81,0,0
96,Apr.22,9602168.34,5109597.22,6211323.88,20.47,34.51,4689,3681,1881,-0.17,-4.56,0.4571,32021.43,33390.37,38395.12,51.57,45.75,69.56,28.43,4098953.01,4563004.93,516761.6,8339498.7,848522.55,6974214.55,39.66,44.15,5,8.21,80.69,50.22,42.01,7.77,1.44,1.042,9917249,76.65,3.3,71.21,68.68,100,88.1,2113.69,1292.91,21.05,5,1,0,9.72,3.77,0,0,0,0,4.11,98,0,0
96,Mar.18,10311524.38,0,5506053.27,17.41,31.66,1296,3505,1076,-0.25,-3.01,0.5312,30898.7,32959.73,38590.84,51.28,44.21,73.51,30.47,3356841.25,5496507.24,787249.03,10034933.84,284719.36,8962965.45,23.58,38.61,5.53,2,70.49,52.93,37.83,9.24,1.41,0.2322,5275036,39.76,0,80.7,82.85,67.16,44.09,3009.43,667.07,12.17,5,0,0,7.09,3.13,1,2,280000,0,3.99,46.08,0,0
96,Mar.25,8939202.86,15434824.2,1180045.29,21.16,33.59,3901,634,1460,-2.06,-1.15,0.4348,36317.37,33862.41,38512.67,52.21,47.59,69.02,26.45,1713000,2501500,1368500,4750000,607500,2774000,34.26,50.03,27.37,12.15,95,48.23,49.6,2.17,1.35,0.928,9652135,48.94,0,87.06,63.66,89.42,74.38,3576.54,635.25,13.67,42.38,0,0,6.3,1.77,1,89,630000,0,5,72.33,0,0
96,Oct.23,15053452.87,1236356.43,6431016.98,21.11,33.65,0,9645,1449,-1.41,1.35,0.4476,33895.35,34278.34,38960.2,52.16,47.04,72.16,28.92,2494000,2994500,1006000,4750000,260500,3483500,49.88,59.89,20.12,5.21,95,46.87,53.23,-0.1,1.33,0.9478,5160105,83.12,4.4,88.33,47.7,48.25,91.78,1053.32,503.35,8.46,38.03,0,0,9.55,4.43,1,210,412000,5,2.81,90.53,0,0
96,Oct.18,14851278.09,17631540.62,4784721.08,20.51,34.31,3823,4609,1464,-0.32,2.31,0.3781,40455.54,33841.16,38614.74,52.67,43.13,74.21,28.59,8054703.54,14433363.87,1731449.6,29614713.96,3279365.54,24603898.82,23.26,41.68,5,9.47,85.52,33.33,61.6,5.07,1.79,0.6255,27552434,37.73,4.8,64.45,54.52,91.87,80.65,2268.07,915.02,2,31.63,0,0,7.18,3,0,0,0,0,5,52.09,0,0
